id,editorial
281,Blackstone Audiobooks
282,Blackstone Publishing
283,Blackwell Publishers
284,Blackwell Publishing  Inc.
285,Blanvalet Taschenbuch
286,Blanvalet Taschenbuch Verlag
287,Blanvalet Verlag GmbH
288,Blood Moon Productions
289,Bloomsbury
290,Bloomsbury (NYC)
291,Bloomsbury / Continuum
292,Bloomsbury Academic
293,Bloomsbury Arden Shakespeare
294,Bloomsbury Children's Books
295,Bloomsbury Childrens Books
296,Bloomsbury Methuen Drama
297,Bloomsbury Paperbacks
298,Bloomsbury Publishing
299,Bloomsbury Publishing PLC
300,Bloomsbury U.S.A. Children's Books
301,Bloomsbury UK
302,Bloomsbury USA
303,Bloomsbury USA Children's Books
304,Bloomsbury USA Childrens
305,Blu
306,Blue Sky Press
307,Bolchazy-Carducci Publishers
308,Bold Strokes Books
309,Bollingen/Princeton University Press (NJ)
310,Book of the Month Club
311,Book Publishing Company
312,Book Publishing Company (TN)
313,Bookclub-In-A-Box
314,Booket
315,Booklocker.com  Inc.
316,Books on Tape
317,Booksales
318,Bookspan
319,Boosey & Hawkes Inc
320,Borgo Press
321,Boston Common Press
322,Bradford Book
323,BradyGames
324,Bradygames
325,Bragelonne
326,Brava
327,Bright Sky Press
328,Brill/Rodopi
329,Brilliance Audio
330,Bristol Classical Press
331,British Academy
332,British Film Institute
333,British Library
334,Broadview Press Inc
335,Broadview Press Inc 
336,Broadway
337,Broadway Books
338,Broadway Business
339,Broadway/Crown Publishing Group
340,Brookline Books
341,Brown Son & Ferguson Ltd.
342,Bruno Gmünder
343,Bryn Mawr Commentaries
344,btb
345,Buccaneer Books
346,Bulfinch
347,Bureau of Public Secrets
348,Burford Books
349,Business Plus
350,Byblos
351,C. Bange
352,Caedmon
353,Cambridge University Press
354,Cambridge University Press/The New Cambridge Shakespeare
355,Canadian Broadcasting Corporation (CBC Audio)
356,Candlewick
357,Candlewick Press
358,Candlewick Press (MA)
359,Canongate Books
360,Canongate U.S.
361,Capstone Press
362,Cardoza
363,Carl Hanser
364,Carlsen
365,Carlton Publishing Group
366,Carole Marsh Mysteries
367,Carroll & Graf
368,Carroll & Graf Publishers
369,Cartago
370,Cartwheel
371,Casa Creacion
372,Castle Books
373,Cátedra
374,Catholic Book Publishing
375,Cavendish Square Publishing
376,CDS Books
377,Cedar Books
378,Celestial Arts
379,Cemetery Dance Publications
380,Cengage Learning
381,Center Point
382,Century
383,Chalice Press
384,Challenge Press  Inc./Challcrest Press
385,Changeling Press
386,Chaosium
387,Charles Scribner's Sons
388,Charlesbridge
389,Charnwood
390,Chartwell Books
391,Chatto  Windus
392,Chatto & Windus
393,Chatto and Windus
394,Checkmark Books
395,Chelsea House Publications
396,Chelsea House Publishers
397,Cherry Lane Music Company
398,Cherry Red Books
399,Chicago Review Press
400,Chicken House
401,Chicken House / Scholastic
402,Child's Play International
403,Children's Classics
404,Children's Press(CT)
405,Chosen Books
406,Christian Classics
407,Chronicle Books
408,Chu Hartley Publishers LLC
409,Churchill Livingstone
410,Circlet Press
411,Círculo de Lectores
412,Cisne
413,Cistercian Publications
414,Citadel
415,Citadel Press
416,City Lights
417,City Lights Publishers
418,Civitas Books
419,Claassen Verlag
420,Clarendon Press
421,Clarion Books
422,Clarity Press
423,Clarkson Potter
424,Clarkson Potter Publishers
425,Clarkson Potter/Publishers
426,Classic Books
427,Cleis Press
428,Cliffs Notes
429,CMX
430,Coffee House Press
431,Cold Spring Harbor Laboratory Press
432,Cold Spring Press
433,Collection of Historical Scientific Instruments
